Neighborhood,Neighborrhood_number,Neighborhood_lat,Neighborhood_long,Venue,Category,Venue_lat,Venue_long
Agincourt South-Malvern West ,128,43.7898036539727,-79.26516479537746,Perfect Chinese Restaurant 雅瓊海鮮酒家,Chinese Restaurant,43.78777423062292,-79.27029393705004
Agincourt South-Malvern West ,128,43.7898036539727,-79.26516479537746,Dumpling House 餃子莊,Chinese Restaurant,43.787208821092754,-79.26990941663193
Agincourt South-Malvern West ,128,43.7898036539727,-79.26516479537746,Fountain Cuisine 奉天一品,Dim Sum Restaurant,43.78836,-79.26821
Little Portugal ,84,43.64680614246963,-79.4328871348979,Sukho Thai,Thai Restaurant,43.64964167678855,-79.43025432767807
Little Portugal ,84,43.64680614246963,-79.4328871348979,Antler,Restaurant,43.64965241606716,-79.43054140300441
Little Portugal ,84,43.64680614246963,-79.4328871348979,Bairrada Churrasqueira,Portuguese Restaurant,43.649982297901076,-79.4340029197903
Little Portugal ,84,43.64680614246963,-79.4328871348979,Le Baratin,French Restaurant,43.64988933079865,-79.43515483102769
Little Portugal ,84,43.64680614246963,-79.4328871348979,The Federal,Restaurant,43.64966292229827,-79.43006581758533
Little Portugal ,84,43.64680614246963,-79.4328871348979,Uncle Mikey's,Korean Restaurant,43.64981738841562,-79.43489134311676
Little Portugal ,84,43.64680614246963,-79.4328871348979,Mezu,Korean Restaurant,43.649432,-79.427925
Little Portugal ,84,43.64680614246963,-79.4328871348979,Pho Phuong,Vietnamese Restaurant,43.64986318779196,-79.43520391242026
Agincourt North ,129,43.80604316043266,-79.25942778869258,Samosa King - Embassy Restaurant,Indian Restaurant,43.81015178654958,-79.25731635003477
Junction Area ,90,43.66735221870033,-79.47379337793656,Curry Twist,Indian Restaurant,43.66558068434231,-79.47054074311107
Junction Area ,90,43.66735221870033,-79.47379337793656,Junction Local,Cajun / Creole Restaurant,43.665646,-79.47237
Junction Area ,90,43.66735221870033,-79.47379337793656,Lan Sushi,Sushi Restaurant,43.665507174321554,-79.46882453117938
Junction Area ,90,43.66735221870033,-79.47379337793656,Pho Huong,Vietnamese Restaurant,43.665317424998065,-79.46854833967228
Junction Area ,90,43.66735221870033,-79.47379337793656,Bricco Wine Bar,Italian Restaurant,43.665385,-79.470865
Junction Area ,90,43.66735221870033,-79.47379337793656,The Friendly Thai,Thai Restaurant,43.665540244616984,-79.47048031151444
Junction Area ,90,43.66735221870033,-79.47379337793656,Leela Indian Food Bar,Indian Restaurant,43.665326029741365,-79.47330594062805
Blake-Jones ,69,43.67329216993508,-79.33779832117241,Tropical Joe's,Caribbean Restaurant,43.66971566836941,-79.33915330822283
Blake-Jones ,69,43.67329216993508,-79.33779832117241,Chula Taberna Mexicana,Mexican Restaurant,43.66923314512145,-79.33590599288392
Blake-Jones ,69,43.67329216993508,-79.33779832117241,Com Tam Dao Vien/Peach Garden Express,Vietnamese Restaurant,43.66880618579735,-79.3377334022666
Blake-Jones ,69,43.67329216993508,-79.33779832117241,KFC,Fast Food Restaurant,43.6691,-79.3393
Forest Hill North ,102,43.70360612455265,-79.42724357851476,Jerusalem Restaurant,Middle Eastern Restaurant,43.70024147908061,-79.42895714630743
Forest Hill North ,102,43.70360612455265,-79.42724357851476,Il Mulino,Italian Restaurant,43.69997901146859,-79.43071961082923
Forest Hill North ,102,43.70360612455265,-79.42724357851476,Bi Bim Bap,Korean Restaurant,43.70035223811227,-79.42871533999565
Forest Hill North ,102,43.70360612455265,-79.42724357851476,Swiss Chalet,Restaurant,43.700213098161875,-79.42857044571161
Forest Hill North ,102,43.70360612455265,-79.42724357851476,Bistro Grande,Restaurant,43.70020876192952,-79.42959006976555
Forest Hill North ,102,43.70360612455265,-79.42724357851476,Sushi Ocean,Sushi Restaurant,43.70015859603882,-79.429663
Hillcrest Village ,48,43.801618515712555,-79.35947366204765,New York Fries,Fast Food Restaurant,43.80366383775661,-79.36390544874158
Danforth ,66,43.68352121541558,-79.33072342364169,The Wren,American Restaurant,43.6824674097841,-79.32807925839526
Danforth ,66,43.68352121541558,-79.33072342364169,Al Mandi Restaurant مطعم المندي,Middle Eastern Restaurant,43.682225048864694,-79.32933205287013
Danforth ,66,43.68352121541558,-79.33072342364169,Rendez-Vous Restaurant Bar & Cafe,Ethiopian Restaurant,43.68257026831632,-79.32754382523993
Danforth ,66,43.68352121541558,-79.33072342364169,City Betty,American Restaurant,43.6824,-79.32873
Danforth ,66,43.68352121541558,-79.33072342364169,Sala Modern Thai Kitchen & Bar,Thai Restaurant,43.68188522065964,-79.33072046699459
Danforth ,66,43.68352121541558,-79.33072342364169,Lalibela,Ethiopian Restaurant,43.6817099,-79.33199890000003
Danforth ,66,43.68352121541558,-79.33072342364169,Wazema Ethiopian Restaurant,Ethiopian Restaurant,43.68223421,-79.328562
Danforth ,66,43.68352121541558,-79.33072342364169,A&W,Fast Food Restaurant,43.68164,-79.332268
Danforth ,66,43.68352121541558,-79.33072342364169,El Sol Mexican Gallery Restaurant,Mexican Restaurant,43.68280647380088,-79.3264150533403
University ,79,43.66270164911288,-79.39573151171598,The Saj,Mediterranean Restaurant,43.65878737223263,-79.39520834668025
University ,79,43.66270164911288,-79.39573151171598,Quick Pita,Falafel Restaurant,43.65879751594094,-79.39513763494665
Yorkdale-Glen Park ,31,43.71745792679319,-79.4527512191505,Krystos,Greek Restaurant,43.71851626753137,-79.45585522412502
Yorkdale-Glen Park ,31,43.71745792679319,-79.4527512191505,Harvey's,Restaurant,43.71533697302975,-79.45539587874885
Yorkdale-Glen Park ,31,43.71745792679319,-79.4527512191505,Swiss Chalet,Restaurant,43.71722432853837,-79.45622274434868
Yorkdale-Glen Park ,31,43.71745792679319,-79.4527512191505,Yuki Japanese Restaurant,Sushi Restaurant,43.72060971477955,-79.45611946822187
Yorkdale-Glen Park ,31,43.71745792679319,-79.4527512191505,The Burger's Priest,Fast Food Restaurant,43.7207893797841,-79.45676631978057
Yorkdale-Glen Park ,31,43.71745792679319,-79.4527512191505,Red Lobster,Seafood Restaurant,43.718952,-79.456245
Yorkdale-Glen Park ,31,43.71745792679319,-79.4527512191505,Viet House,Vietnamese Restaurant,43.71832569840717,-79.45737310259787
Yorkdale-Glen Park ,31,43.71745792679319,-79.4527512191505,Burger King,Fast Food Restaurant,43.714209646677354,-79.45639595389366
Yorkdale-Glen Park ,31,43.71745792679319,-79.4527512191505,Shoeless Joe's,Restaurant,43.718625360000004,-79.45599258
Yorkdale-Glen Park ,31,43.71745792679319,-79.4527512191505,KFC,Fast Food Restaurant,43.7166,-79.447
Yorkdale-Glen Park ,31,43.71745792679319,-79.4527512191505,McDonald's,Fast Food Restaurant,43.71714,-79.4473542
Yorkdale-Glen Park ,31,43.71745792679319,-79.4527512191505,Seoul House,Korean Restaurant,43.71990210821056,-79.4578317328269
Kensington-Chinatown ,78,43.653789174067356,-79.39686951041524,Banh Mi Nguyen Huong,Vietnamese Restaurant,43.653628006211044,-79.3983759881993
Kensington-Chinatown ,78,43.653789174067356,-79.39686951041524,Saigon Lotus Restaurant,Vietnamese Restaurant,43.654310800343325,-79.39922450076845
Kensington-Chinatown ,78,43.653789174067356,-79.39686951041524,Seven Lives - Tacos y Mariscos,Mexican Restaurant,43.65441817160925,-79.40054467846261
Kensington-Chinatown ,78,43.653789174067356,-79.39686951041524,Torteria San Cosme,Mexican Restaurant,43.65470199390117,-79.40064636669985
Kensington-Chinatown ,78,43.653789174067356,-79.39686951041524,Swatow Restaurant 汕頭小食家,Chinese Restaurant,43.65386562507761,-79.39833353339202
Kensington-Chinatown ,78,43.653789174067356,-79.39686951041524,Juicy Dumpling,Dumpling Restaurant,43.652722483150555,-79.39849796387996
Kensington-Chinatown ,78,43.653789174067356,-79.39686951041524,Vegetarian Haven,Vegetarian / Vegan Restaurant,43.656016028357094,-79.3927577742003
Kensington-Chinatown ,78,43.653789174067356,-79.39686951041524,Wafels and More,Belgian Restaurant,43.65465108367296,-79.40197747917576
Kensington-Chinatown ,78,43.653789174067356,-79.39686951041524,Golden Patty,Caribbean Restaurant,43.6546590586465,-79.4011788108254
Kensington-Chinatown ,78,43.653789174067356,-79.39686951041524,Hibiscus,Vegetarian / Vegan Restaurant,43.655454254557085,-79.4024390910271
Kensington-Chinatown ,78,43.653789174067356,-79.39686951041524,FILM CAFE,Comfort Food Restaurant,43.65510856565147,-79.40234241534543
Kensington-Chinatown ,78,43.653789174067356,-79.39686951041524,Helena's Magic Kitchen,Restaurant,43.6537970351196,-79.39116758610888
Old East York ,58,43.69865482695245,-79.33599705649053,Harbour FISH and CHIPS,Seafood Restaurant,43.69575928146644,-79.33948449035833
Palmerston-Little Italy ,80,43.65876742197174,-79.41801527160663,YamChops,Vegetarian / Vegan Restaurant,43.65519423107115,-79.41809919894195
Palmerston-Little Italy ,80,43.65876742197174,-79.41801527160663,Terrazza,Italian Restaurant,43.6590214750295,-79.42246675466289
Palmerston-Little Italy ,80,43.65876742197174,-79.41801527160663,Bar Isabel,Tapas Restaurant,43.65478181377258,-79.42071689593973
Palmerston-Little Italy ,80,43.65876742197174,-79.41801527160663,Pinky's Ca Phe,Asian Restaurant,43.65553023379977,-79.4138787532894
Palmerston-Little Italy ,80,43.65876742197174,-79.41801527160663,Hot Mess,Tex-Mex Restaurant,43.655011,-79.414638
Palmerston-Little Italy ,80,43.65876742197174,-79.41801527160663,Marinella Simply Italian,Italian Restaurant,43.655028517585365,-79.41578415431819
Palmerston-Little Italy ,80,43.65876742197174,-79.41801527160663,Skippa,Japanese Restaurant,43.65869770122747,-79.42278385162354
Palmerston-Little Italy ,80,43.65876742197174,-79.41801527160663,Hapa Izakaya,Japanese Restaurant,43.655281492914376,-79.41419145285809
Palmerston-Little Italy ,80,43.65876742197174,-79.41801527160663,Regina Pizzeria & Trattoria,Italian Restaurant,43.654806927254555,-79.42078995270712
Niagara ,82,43.631735137534974,-79.4148734349127,Maxx’s Kitchen,Restaurant,43.632579,-79.411721
Bedford Park-Nortown ,39,43.73908910297025,-79.41655595798473,The Copper Chimney,Indian Restaurant,43.73619518432498,-79.42027081330127
